,Start date,SUBJECT,DESCRIPTION,
Saturday,2025-10-25,Saturday after Pentecost 19,"Saturday 25 October 2025

Saturday after Pentecost 19 (Green)
Week of Proper 29
Year C/1

DAILY EUCHARIST
Romans 8:1-11
Psalm 24:1-6
Luke 13:1-9

DAILY PRAYER: Week D
Ezra 4:7, 11-24
Philemon 1-25
Matthew 12:33-42

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-10-26,Pentecost 20 [3] Green; SPB Trinity 19,"Sunday 26 October 2025

Pentecost 20 [3] Green; SPB Trinity 19
Week of Proper 30
Year C/1

EUCHARIST

Continuous:
Joel 2:23-32
Psalm 65
2 Timothy 4:6-8, 16-18
Luke 18:9-14

Thematic:
Sirach 35:12-17 or Jeremiah 14:7-10, 19-22
Psalm 84:1-7
2 Timothy 4:6-8, 16-18
Luke 18:9-14

DAILY PRAYER: Week A
Ecclesiastes 11:1-10
2 Timothy 2:1-7
Mark 12:18-34

ALTERNATIVE PSALMS
Morning: Psalm 119:89-96, (97-104)
Evening: Psalm 119:121-128, (129-136)

COLLECT (Proper 30)
O Lord, in your mercy:
grant to your faithful people pardon and peace;
that they may be cleansed from all their sins, 
and serve you with a quiet mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-10-27,Monday after Pentecost 20,"Monday 27 October 2025

Monday after Pentecost 20 (Green)
Week of Proper 30
Year C/1

DAILY EUCHARIST
Romans 8:12-17
Psalm 68:1-6, 19-20
Luke 13:10-17

DAILY PRAYER: Week A
Zechariah 1:7-17
Revelation 1:4-20
Matthew 12:43-50

COLLECT (Proper 30)
O Lord, in your mercy:
grant to your faithful people pardon and peace;
that they may be cleansed from all their sins, 
and serve you with a quiet mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-10-28,"Simon and Jude, Apostles [4] Red","Tuesday 28 October 2025

Simon and Jude, Apostles [4] Red
Week of Proper 30
Year C/1

EUCHARIST
Deuteronomy 32:1-4 or Isaiah 28:14-16
Psalm 119:89-96
Ephesians 2:13-22
John 15:17-27

MORNING PRAYER: Festivals
Isaiah 28:9-16 or Jeremiah 3:12-18
Ephesians 4:1-16

EVENING PRAYER: Festivals
Isaiah 4:2-6
John 14:15-31

COLLECT (Simon and Jude)
Almighty God, 
whom we thank for the glorious company of the apostles, 
and especially on this day for Simon and Jude: 
grant that as they were faithful and zealous in their mission 
so we may, with ardent devotion, 
make known the love and mercy 
of our Lord and Saviour, Jesus Christ; 
who lives and reigns with you 
in the unity of the Holy Spirit,
one God, world without end.

---

Tuesday after Pentecost 20 (Green)
Week of Proper 30
Year C/1

DAILY EUCHARIST
Romans 8:18-25
Psalm 126
Luke 13:18-21

DAILY PRAYER: Week A
Ezra 5:1-17
Revelation 4:1-11 
Matthew 13:1-9

COLLECT (Proper 30)
O Lord, in your mercy:
grant to your faithful people pardon and peace;
that they may be cleansed from all their sins, 
and serve you with a quiet mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-10-29,"James Hannington, Bishop, and Companions, Martyrs, 1885 [6] Red","Wednesday 29 October 2025

James Hannington, Bishop, and Companions, Martyrs, 1885 [6] Red
Wednesday after Pentecost 20 (Green)
Week of Proper 30
Year C/1

DAILY EUCHARIST
Romans 8:26-30
Psalm 13
Luke 13:22-30

DAILY PRAYER: Week A
Ezra 6:1-22
Revelation 5:1-10
Matthew 13:10-17

COLLECT (Proper 30)
O Lord, in your mercy:
grant to your faithful people pardon and peace;
that they may be cleansed from all their sins, 
and serve you with a quiet mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-10-30,Thursday after Pentecost 20,"Thursday 30 October 2025

Thursday after Pentecost 20 (Green)
Week of Proper 30
Year C/1

DAILY EUCHARIST
Romans 8:31-39
Psalm 30
Luke 13:31-35

DAILY PRAYER: Week A
Nehemiah 1:1-11
Revelation 5:11 - 6:11
Matthew 13:18-23

COLLECT (Proper 30)
O Lord, in your mercy:
grant to your faithful people pardon and peace;
that they may be cleansed from all their sins, 
and serve you with a quiet mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-10-31,Friday after Pentecost 20,"Friday 31 October 2025

Friday after Pentecost 20 (Green)
Week of Proper 30
Year C/1

DAILY EUCHARIST
Romans 9:1-5
Psalm 147:13-21
Luke 14:1-6

MORNING PRAYER: Week A
Nehemiah 2:1-20
Revelation 6:12 - 7:4
Matthew 13:24-30

COLLECT (Proper 30)
O Lord, in your mercy:
grant to your faithful people pardon and peace;
that they may be cleansed from all their sins, 
and serve you with a quiet mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

EVENING PRAYER for Eve of ALL SAINTS: Festivals
Wisdom of Solomon 3:1-9
Revelation 19:1, 4-10

COLLECT (All Saints)
Almighty God, 
you have knit together your elect in one communion 
in the mystical body of your Son, 
Jesus Christ our Lord: 
grant that we may attain, 
with all your saints, 
the whole measure of the fullness of Christ;
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-11-01,All Saints [2] White,"Saturday 1 November 2025

All Saints Day [2] White
Saturday after Pentecost 20 (Green)
Week of Proper 30
Year C/1

EUCHARIST
Daniel 7:1-3, 15-18
Psalm 149
Ephesians 1:11-23
Luke 6:20-36

MORNING PRAYER: Festivals
2 Esdras 2:42-47
Hebrews 11:32 - 12:2

EVENING PRAYER: Festivals
Wisdom of Solomon 5:1-5, 14-16
Revelation 21:1-4, 22 - 22:5

COLLECT (All Saints)
Almighty God, 
you have knit together your elect in one communion 
in the mystical body of your Son, 
Jesus Christ our Lord: 
grant that we may attain, 
with all your saints, 
the whole measure of the fullness of Christ;
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-11-02,Pentecost 21 [3] Green; SPB Trinity 20,"Sunday 2 November 2025

Pentecost 21 [3] Green; SPB Trinity 20
Week of Proper 31
Year C/1

EUCHARIST

Continuous:
Habakkuk 1:1-4; 2:1-4
Psalm 119:137-144
2 Thessalonians 1:1-4, 11-12
Luke 19:1-10

Thematic:
Isaiah 1:10-18
Psalm 32:1-7
2 Thessalonians 1:1-4, 11-12
Luke 19:1-10

DAILY PRAYER: Week B
Daniel 7:1-18
Revelation 7:9-17
Luke 6:17-31

ALTERNATIVE PSALMS
Morning: Psalms 111 (and 117)
Evening: Psalm 145:1-9

COLLECT (Proper 31)
O Lord, 
watch over your household with constant love:
that with you as our shelter
your family may be free from all distress,
and devoted to good works for the glory of your name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-11-03,All Souls [5] Violet or White (transferred from 2 November),"Monday 3 November 2025

All Souls [5] Violet or White (transferred from 2 November)
Monday after Pentecost 21 (Green)
Week of Proper 31
Year C/1

EUCHARIST
Wisdom of Solomon 3:1-9 or Lamentations 3:17-26, 31-33
Psalm 116:1-8 or Psalm 23
1 Peter 1:3-9 or Romans 5:5-11
John 6:37-40 or John 11:21-27

MORNING PRAYER: Commendation
Isaiah 25:6-9
1 Peter 1:3-9 or John 6:37-40

EVENING PRAYER: Commendation
Job 19:21-27
John 20:1-9

COLLECTS (All Souls)
Father of all, 
we pray to you for those we love but see no longer: 
grant them your peace,
let light perpetual shine upon them, 
and in your loving wisdom and almighty power 
work in them the good purpose of your perfect will; 
through Jesus Christ, our Lord, 
who lives and reigns with you
in the unity of the Holy Spirit, 
one God, world without end.

or

Eternal Lord God, 
you hold all souls in life: 
shed forth upon all the faithful departed 
the bright beams of your light and heavenly comfort; 
and grant that they, and we with them, 
may at length enter into the joys of your eternal kingdom; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-11-04,"Richard Hooker, Priest and Teacher of the Faith, 1660 [6] White (transferred from 3 November)","Tuesday 4 November 2025

Richard Hooker, Priest and Teacher of the Faith, 1660 [6] White (transferred from 3 November)
Tuesday after Pentecost 21 (Green)
Week of Proper 31
Year C/1

DAILY EUCHARIST
Romans 12:1-16
Psalm 131
Luke 14:15-24

DAILY PRAYER: Week B
Nehemiah 12:27-31a, 42b-47
Revelation 11:1-19
Matthew 13:44-52

COLLECT (Proper 31)
O Lord, 
watch over your household with constant love:
that with you as our shelter
your family may be free from all distress,
and devoted to good works for the glory of your name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-11-05,Wednesday after Pentecost 21,"Wednesday 5 November 2025

Wednesday after Pentecost 21 (Green)
Week of Proper 31
Year C/1

DAILY EUCHARIST
Romans 13:8-10
Psalm 112
Luke 14:25-33

DAILY PRAYER: Week B
Nehemiah 13:4-22
Revelation 12:1-12
Matthew 13:53-58

COLLECT (Proper 31)
O Lord, 
watch over your household with constant love:
that with you as our shelter
your family may be free from all distress,
and devoted to good works for the glory of your name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2025-11-06,Thursday after Pentecost 21,"Thursday 6 November 2025

Thursday after Pentecost 21 (Green)
Week of Proper 31
Year C/1

DAILY EUCHARIST
Romans 14:7-12
Psalm 27:1-6, 17-18
Luke 15:1-10

DAILY PRAYER: Week B
Ezra 7:(1-10), 11-26
Revelation 14:1-13
Matthew 14:1-12

COLLECT (Proper 31)
O Lord, 
watch over your household with constant love:
that with you as our shelter
your family may be free from all distress,
and devoted to good works for the glory of your name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2025-11-07,"Willibrord, Bishop and Missionary, 739 [6] White","Friday 7 November 2025

Willibrord, Bishop and Missionary, 739 [6] White
Friday after Pentecost 21 (Green)
Week of Proper 31
Year C/1

DAILY EUCHARIST
Romans 15:14-21
Psalm 98
Luke 16:1-8

DAILY PRAYER: Week B
Ezra 7:27-28; 8:21-36
Revelation 15:1-8
Matthew 14:13-21

COLLECT (Proper 31)
O Lord, 
watch over your household with constant love:
that with you as our shelter
your family may be free from all distress,
and devoted to good works for the glory of your name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-11-08,Saturday after Pentecost 21,"Saturday 8 November 2025

Saturday after Pentecost 21 (Green)
Week of Proper 31
Year C/1

DAILY EUCHARIST
Romans 16:3-9, 16, 22-27
Psalm 145:1-7
Luke 16:9-15

DAILY PRAYER: Week B
Ezra 9:1-15
Revelation 17:1-14
Matthew 14:22-36

COLLECT (Proper 31)
O Lord, 
watch over your household with constant love:
that with you as our shelter
your family may be free from all distress,
and devoted to good works for the glory of your name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-11-09,Pentecost 22 [3] Green; SPB Trinity 21 (Remembrance Sunday),"Sunday 9 November 2025

Pentecost 22 [3] Green; SPB Trinity 21
Remembrance Sunday
Week of Proper 32
Year C/1

EUCHARIST

Continuous:
Haggai 1:15b - 2:9
Psalm 145:1-5, 17-21 or Psalm 98
2 Thessalonians 2:1-5, 13-17
Luke 20:27-38

Thematic:
Job 19:23-27a
Psalm 17:1-9
2 Thessalonians 2:1-5, 13-17
Luke 20:27-38

DAILY PRAYER: Week C
Judges 7:2-22
Romans 8:31-39
John 15:9-17

ALTERNATIVE PSALMS
Morning: Psalm 82
Evening: Psalm 46

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

Remembrance Sunday (Red or Green)
Week of Proper 32
Year C/1

EUCHARIST
Job 19:21-27
Psalm 90
1 Corinthians 15:51-57
John 6:37-40

COLLECT (Remembrance)
O God, whose will it is
to hold both heaven and earth in a single peace:
let the design of your great love
shine on the waste of our wraths and sorrows;
and give peace to your Church,
peace among nations,
peace in our homes,
and peace in our hearts;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-11-10,"Leo the Great, Bishop and Teacher of the Faith, 461 [6] White","Monday 10 November 2025

Leo the Great, Bishop and Teacher of the Faith, 461 [6] White
Monday after Pentecost 22 (Green)
Week of Proper 32
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 1:1-7
Psalm 139:1-9
Luke 17:1-6

DAILY PRAYER: Week C
Nehemiah 9:1-15, (16-25)
Revelation 18:1-8
Matthew 15:1-20

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-11-11,"Martin of Tours, Bishop, c.397 [6] White","Tuesday 11 November 2025

Martin of Tours, Bishop, c.397 [6] White
Tuesday after Pentecost 22 (Green)
Armistice Day
Week of Proper 32
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 2:23 - 3:9
Psalm 34:15-22
Luke 17:7-10

DAILY PRAYER: Week C
Nehemiah 9:26-38
Revelation 18:9-20
Matthew 15:21-283

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-11-12,"Machar, Bishop, c.600 [6] White","Wednesday 12 November 2025

Machar, Bishop, c.600 [6] White
Wednesday after Pentecost 22 (Green)
Week of Proper 32
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 6:1-11
Psalm 82
Luke 17:11-19

DAILY PRAYER: Week C
Nehemiah 7:73b - 8:3, 5-18
Revelation 18:21-24
Matthew 15:29-39

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-11-13,"George Hay Forbes, Priest, 1875 [6] White (transferred from 9 November)","Thursday 13 November 2025

George Hay Forbes, Priest, 1875 [6] White (transferred from 9 November)
Thursday after Pentecost 22 (Green)
Week of Proper 32
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 7:21 - 8:1
Psalm 119:89-96
Luke 17:20-25

DAILY PRAYER: Week C
1 Maccabees 1:1-28
Revelation 19:1-10
Matthew 16:1-12

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-11-14,"Friday after Pentecost 22 (Ordination of Samuel Seabury, Bishop, 1784)","Friday 14 November 2025

Friday after Pentecost 22 (Green)
Ordination of Samuel Seabury, Bishop, 1784
Week of Proper 32
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 13:1-9
Psalm 19:1-4
Luke 17:26-37

DAILY PRAYER: Week C
1 Maccabees 1:41-63
Revelation 19:11-16
Matthew 16:13-20

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-11-15,Saturday after Pentecost 22,"Saturday 15 November 2025

Saturday after Pentecost 22 (Green)
Week of Proper 32
Year C/1

DAILY EUCHARIST
Wisdom of Solomon 18:14-16; 19:6-9
Psalm 105:1-6, 37-45
Luke 18:1-8

DAILY PRAYER: Week C
1 Maccabees 2:1-28
Revelation 20:1-6
Matthew 16:21-28

COLLECT (Proper 32)
O God, our refuge and strength, 
the very author of devotion: 
hear the prayers of your Church;
and grant that what we seek in faith 
we may in fact obtain;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-11-16,Pentecost 23 [3] Green; SPB Trinity 22,"Sunday 16 November 2025

Pentecost 23 [3] Green; SPB Trinity 22
Week of Proper 33
Year C/1

EUCHARIST

Continuous:
Isaiah 65:17-25
Psalm 98 or Canticle: Isaiah 12
2 Thessalonians 3:6-13
Luke 21:5-19

Thematic:
Malachi 4:1-2a
Psalm 98
2 Thessalonians 3:6-13
Luke 21:5-19

DAILY PRAYER: Week D
1 Kings 1:15-40
Revelation 1:4-18
Luke 9:1-6

ALTERNATIVE PSALMS
Morning: Psalm 89:19-29
Evening: Psalm 95 or Psalm 97

COLLECT (Proper 33)
O Lord, 
forgive the transgressions of your people: 
and by your goodness release us from the snare of sin, 
in which, by our frailty, we have been caught; 
through Jesus Christ our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-11-17,"Margaret of Scotland, 1093 [4] White (transferred from 16 November)","Monday 17 November 2025

Margaret of Scotland, 1093 [4] White (transferred from 16 November)
Week of Proper 33
Year C/1

EUCHARIST
Proverbs 31:10-13, (14-24), 25-31
Psalm 112
2 Timothy 1:1-7
Matthew 13:44-46 or Luke 11:33-36

MORNING PRAYER: Festivals
Isaiah 35:1-10
Matthew 13:44-46 or Luke 11:33-36

EVENING PRAYER: Festivals
Wisdom of Solomon 6:1-21
Revelation 7:9-17

COLLECT (Margaret of Scotland)
Almighty God, 
who called your servant Margaret to an earthly throne
that she might advance your heavenly kingdom,
and endued her with zeal for your Church
and charity towards your people:
mercifully grant that we, who commemorate her example,
may be fruitful in good works
and attain to the glorious company of your saints;
through Jesus Christ, our Lord,
who lives and reigns with you
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after Pentecost 23 (Green)
Week of Proper 33
Year C/1

DAILY EUCHARIST
1 Maccabees 1:1-15, 54-57, 62-64
Psalm 79
Luke 18:35-43

DAILY PRAYER: Week D
1 Maccabees 3:1-24
Revelation 20:7-15
Matthew 17:1-13

COLLECT (Proper 33)
O Lord, 
forgive the transgressions of your people: 
and by your goodness release us from the snare of sin, 
in which, by our frailty, we have been caught; 
through Jesus Christ our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
